Entity,Code,Year,GDP per capita,Unemployment Rate (%),Annual CO₂ emissions (per capita),Period life expectancy at birth
Nicaragua,NIC,2018,4930.4297,5.2,0.8090502,73.8787
Nicaragua,NIC,2019,4721.7275,5.472,0.8032668,73.7637
Nicaragua,NIC,2020,4575.1865,6.201,0.7069047,70.7662
Nicaragua,NIC,2021,4978.8413,6.118,0.772426,70.4777
Nicaragua,NIC,2022,5092.8413,4.961,0.7623672,74.4626
Niger,NER,2018,942.5486,0.535,0.0812783,59.7646
Niger,NER,2019,964.32434,0.531,0.10952548,60.031
Niger,NER,2020,962.7823,0.594,0.1281763,59.8903
Niger,NER,2021,941.2575,0.78,0.10563177,59.5422
Niger,NER,2022,1007.72095,0.418,0.12645128,60.3981
Nigeria,NGA,2018,5215.3755,5.067,0.52106166,52.669
Nigeria,NGA,2019,5197.0825,5.206,0.61034876,53.0086
Nigeria,NGA,2020,4976.3223,5.742,0.58365196,53.0724
Nigeria,NGA,2021,5029.0884,5.45,0.6762326,53.455
Nigeria,NGA,2022,5070.4927,3.821,0.58902264,54.079
North Korea,PRK,2018,1668.5446,2.757,2.4144042,73.0196
North Korea,PRK,2019,1666.8143,2.782,2.6696818,72.9282
North Korea,PRK,2020,1584.3771,2.948,2.5090284,72.7826
North Korea,PRK,2021,1577.1321,3.0,2.0573611,73.4366
North Korea,PRK,2022,1568.847,2.805,2.13794,73.6411
North Macedonia,MKD,2018,13238.034,21.208,3.4660208,76.8835
North Macedonia,MKD,2019,13751.228,17.414,4.0179386,76.8346
North Macedonia,MKD,2020,13125.83,16.575,3.7285478,74.4687
North Macedonia,MKD,2021,13692.046,15.801,3.5212708,73.2918
North Macedonia,MKD,2022,14050.995,14.476,3.9952326,76.6455
Norway,NOR,2018,84739.92,3.801,8.37238,82.7599
Norway,NOR,2019,85115.32,3.684,8.015733,82.9553
Norway,NOR,2020,83543.1,4.424,7.672967,83.1953
Norway,NOR,2021,86334.59,4.359,7.591971,83.1656
Norway,NOR,2022,88366.22,3.231,7.4829626,82.6309
Oman,OMN,2018,50135.402,1.8,15.37186,79.8642
Oman,OMN,2019,48596.527,2.04,15.689613,79.9456
Oman,OMN,2020,46133.21,2.94,15.886151,77.7634
Oman,OMN,2021,46573.574,1.9,16.674276,75.9693
Oman,OMN,2022,47988.65,3.3,16.488375,77.9106
Pakistan,PAK,2018,5299.071,4.083,0.8967553,66.4807
Pakistan,PAK,2019,5219.534,4.83,0.8267986,66.7288
Pakistan,PAK,2020,5242.6953,6.127,0.91705513,65.7015
Pakistan,PAK,2021,5463.7744,6.338,1.0170143,65.7731
Pakistan,PAK,2022,5531.723,5.485,0.8697954,67.4167
Palestine,PSE,2018,5218.1562,26.256,0.60958487,75.3798
Palestine,PSE,2019,5176.9795,25.34,0.65848595,75.8114
Palestine,PSE,2020,4490.755,25.895,0.6562355,74.9978
Palestine,PSE,2021,4698.9326,26.39,0.7009545,73.8896
Palestine,PSE,2022,4775.202,24.42,0.8862943,76.6624
Panama,PAN,2018,22843.75,5.161,2.1884246,78.2656
Panama,PAN,2019,23218.432,6.256,2.9397075,78.5145
Panama,PAN,2020,18840.738,14.663,1.5273576,76.3302
Panama,PAN,2021,21539.07,10.177,2.334559,77.0037
Panama,PAN,2022,23557.02,8.086,2.6602929,79.3241
Paraguay,PRY,2018,8915.669,6.217,1.3230258,73.6271
Paraguay,PRY,2019,8776.076,6.595,1.2691232,73.6681
Paraguay,PRY,2020,8603.079,7.548,1.1272037,72.7197
Paraguay,PRY,2021,8845.659,7.311,1.2248267,68.1081
Paraguay,PRY,2022,8762.771,6.755,1.1143297,72.3185
Peru,PER,2018,12677.875,3.492,1.7560439,76.018
Peru,PER,2019,12680.354,3.379,1.8079982,76.2749
Peru,PER,2020,11136.991,7.179,1.4384526,73.8315
Peru,PER,2021,12550.461,5.097,1.8084831,71.5962
Peru,PER,2022,12762.967,3.85,1.9352938,76.834
Philippines,PHL,2018,8234.928,2.338,1.2776358,69.7615
Philippines,PHL,2019,8602.1455,2.237,1.2869601,69.6804
Philippines,PHL,2020,7624.4136,2.522,1.1728759,70.0974
Philippines,PHL,2021,7894.1777,3.398,1.2402151,66.6755
Philippines,PHL,2022,8370.666,2.598,1.3246514,69.4723
Poland,POL,2018,27880.836,3.835,8.779007,77.6232
Poland,POL,2019,29142.023,3.267,8.304427,77.9213
Poland,POL,2020,28577.14,3.155,7.914448,76.5951
Poland,POL,2021,30687.662,3.268,8.693247,75.6387
Poland,POL,2022,32468.402,2.811,8.20336,77.9229
Portugal,PRT,2018,27329.69,6.994,4.972253,81.5915
Portugal,PRT,2019,28056.057,6.464,4.6004105,81.9587
Portugal,PRT,2020,25700.283,6.801,4.024692,81.3664
Portugal,PRT,2021,27138.479,6.577,3.8783576,81.3978
Portugal,PRT,2022,28992.059,6.011,3.9092069,81.1936
Qatar,QAT,2018,152453.81,0.11,37.166264,82.7136
Qatar,QAT,2019,150732.22,0.1,36.251686,82.9454
Qatar,QAT,2020,143118.53,0.14,36.145443,80.4095
Qatar,QAT,2021,143468.75,0.14,37.082108,81.083
Qatar,QAT,2022,149171.11,0.13,37.88961,81.8566
Romania,ROU,2018,24000.455,4.187,4.075668,75.1033
Romania,ROU,2019,23267.516,3.912,3.9325275,75.3288
Romania,ROU,2020,24799.71,5.035,3.81315,74.0464
Romania,ROU,2021,26102.588,5.59,4.026425,72.7405
Romania,ROU,2022,26197.904,5.614,3.8183794,75.2614
Russia,RUS,2018,24690.082,4.871,11.677306,72.9363
Russia,RUS,2019,25244.12,4.513,11.631905,73.0658
Russia,RUS,2020,24625.385,5.62,11.149055,71.1705
Russia,RUS,2021,26119.947,4.749,11.482229,69.8066
Russia,RUS,2022,25437.107,3.867,11.508876,72.5174
Rwanda,RWA,2018,1908.049,10.759,0.105146945,66.3539
Rwanda,RWA,2019,2042.8529,11.236,0.11063562,66.6905
Rwanda,RWA,2020,1935.2662,11.829,0.10671424,66.9534
Rwanda,RWA,2021,2106.9736,15.775,0.12721947,66.8496
Rwanda,RWA,2022,2198.0662,15.084,0.14337575,67.528
Saint Lucia,LCA,2018,11060.511,19.329,2.8768585,72.6546
Saint Lucia,LCA,2019,10977.819,15.613,2.8252034,72.249
Saint Lucia,LCA,2020,8164.9062,25.224,2.7336996,72.3077
Saint Lucia,LCA,2021,9067.721,20.514,2.8320374,69.1194
Saint Lucia,LCA,2022,10452.165,15.934,2.8977146,72.6699
Sao Tome and Principe,STP,2018,3756.814,8.714,0.662385,67.6015
Sao Tome and Principe,STP,2019,3781.2275,8.831,0.6867693,68.0435
Sao Tome and Principe,STP,2020,3826.3755,9.686,0.6571442,67.979
Sao Tome and Principe,STP,2021,3821.0012,9.6,0.64374816,68.0262
Sao Tome and Principe,STP,2022,3751.6428,8.992,0.59902877,69.2368
Saudi Arabia,SAU,2018,50906.484,6.029,21.47873,78.7499
Saudi Arabia,SAU,2019,50123.336,5.636,23.244812,78.3132
Saudi Arabia,SAU,2020,46723.93,7.66,21.088715,77.5962
Saudi Arabia,SAU,2021,49841.145,6.621,22.196955,77.0887
Saudi Arabia,SAU,2022,53516.91,5.589,20.729954,77.3098
Senegal,SEN,2018,2514.8071,3.455,0.71195424,67.3792
Senegal,SEN,2019,2559.8176,2.863,0.77731997,67.668
Senegal,SEN,2020,2524.2656,3.437,0.6444607,67.4961
Senegal,SEN,2021,2607.2322,3.44,0.7153539,66.8685
Senegal,SEN,2022,2660.6816,2.837,0.8006707,67.7884
Serbia,SRB,2018,14579.859,12.733,6.335893,76.0356
Serbia,SRB,2019,15293.246,10.395,6.3800635,76.0585
Serbia,SRB,2020,15256.421,9.011,6.5659204,74.5065
Serbia,SRB,2021,16563.828,9.843,6.4203916,72.853
Serbia,SRB,2022,17097.686,8.439,6.547047,75.4778
Sierra Leone,SLE,2018,1660.427,3.192,0.13725628,59.0587
Sierra Leone,SLE,2019,1707.3713,3.203,0.14453192,59.5935
Sierra Leone,SLE,2020,1635.713,3.508,0.15003191,59.6935
Sierra Leone,SLE,2021,1665.1047,3.556,0.18328422,60.2596
Sierra Leone,SLE,2022,1690.4982,3.175,0.17441697,61.2748
Singapore,SGP,2018,74518.15,3.613,8.927358,83.3783
Singapore,SGP,2019,74649.734,3.1,8.642643,83.6622
Singapore,SGP,2020,71964.7,4.1,8.309385,83.6607
Singapore,SGP,2021,77945.484,4.64,9.033064,83.4846
Singapore,SGP,2022,80320.086,3.591,8.6610365,82.9211
Slovakia,SVK,2018,26790.652,6.544,6.647537,77.265
Slovakia,SVK,2019,27429.225,5.761,6.2108803,77.6863
Slovakia,SVK,2020,26468.295,6.719,5.7151237,76.8643
Slovakia,SVK,2021,27365.623,6.894,6.47673,74.5901
Slovakia,SVK,2022,27519.287,6.143,5.771668,77.0356
Slovenia,SVN,2018,29461.344,5.108,7.03719,80.861
Slovenia,SVN,2019,30229.299,4.446,6.7451043,81.007
Slovenia,SVN,2020,28733.303,4.971,6.1229367,80.3641
Slovenia,SVN,2021,31019.943,4.744,6.186983,80.434
Slovenia,SVN,2022,32673.762,4.011,6.017234,80.7933
South Africa,ZAF,2018,11873.3,26.906,7.7417293,65.726
South Africa,ZAF,2019,11739.936,28.468,7.899718,66.0711
South Africa,ZAF,2020,10839.133,29.217,7.1875925,65.1502
South Africa,ZAF,2021,11273.159,34.007,7.14546,62.0099
South Africa,ZAF,2022,11415.887,33.268,6.8738866,65.4536
South Korea,KOR,2018,38214.324,3.824,12.977481,83.34
South Korea,KOR,2019,38935.992,3.746,12.480763,83.6846
South Korea,KOR,2020,38606.984,3.931,11.524331,83.6752
South Korea,KOR,2021,40277.953,3.639,11.882237,83.8517
South Korea,KOR,2022,41320.9,2.857,11.719733,82.727
Spain,ESP,2018,34553.625,15.255,5.701944,83.0956
Spain,ESP,2019,34957.465,14.104,5.284558,83.4794
Spain,ESP,2020,30834.514,15.532,4.441423,82.2413
Spain,ESP,2021,32553.05,14.781,4.793181,82.9508
Spain,ESP,2022,34123.387,12.917,4.8971643,82.3661
Sri Lanka,LKA,2018,12051.547,4.318,0.90489626,76.4853
Sri Lanka,LKA,2019,11939.55,4.67,0.9417696,76.698
Sri Lanka,LKA,2020,11447.249,5.364,0.9047328,76.9281
Sri Lanka,LKA,2021,11751.948,4.981,0.9173014,76.2779
Sri Lanka,LKA,2022,10705.481,4.528,0.80477285,77.2996
Sweden,SWE,2018,45003.492,6.365,4.1134505,82.5321
Sweden,SWE,2019,45434.402,6.833,3.9665341,83.0518
Sweden,SWE,2020,44128.332,8.291,3.5371203,82.4271
Sweden,SWE,2021,46226.543,8.722,3.7027159,83.0196
Sweden,SWE,2022,47126.13,7.392,3.4653375,83.046
Switzerland,CHE,2018,62185.477,4.713,4.3381386,83.5639
Switzerland,CHE,2019,62448.598,4.394,4.2928753,83.7804
Switzerland,CHE,2020,60521.26,4.817,3.974646,83.0626
Switzerland,CHE,2021,62595.31,5.013,4.1233916,83.6477
Switzerland,CHE,2022,63323.254,4.122,3.7477124,83.2003
Syria,SYR,2018,3418.6953,13.497,1.6228212,67.3711
Syria,SYR,2019,3385.4192,13.36,1.6454934,70.9701
Syria,SYR,2020,2903.7397,15.191,1.5365934,71.944
Syria,SYR,2021,2682.3398,14.877,1.5030166,72.4175
Syria,SYR,2022,2494.7612,13.268,1.3989446,72.7898
Tajikistan,TJK,2018,4440.1567,11.437,0.8682259,70.7366
Tajikistan,TJK,2019,4695.543,11.419,0.91439617,70.962
Tajikistan,TJK,2020,4828.3936,12.321,0.9665616,68.6054
Tajikistan,TJK,2021,5205.606,12.333,0.9415492,69.5935
Tajikistan,TJK,2022,5507.5454,11.634,1.0332633,71.5624
Tanzania,TZA,2018,2785.1824,2.393,0.24780245,65.488
Tanzania,TZA,2019,2894.6472,2.496,0.27361012,66.0068
Tanzania,TZA,2020,2948.4724,2.781,0.261632,66.7712
Tanzania,TZA,2021,3008.113,2.821,0.28135568,66.1306
Tanzania,TZA,2022,3057.3286,2.588,0.30446345,66.8786
Thailand,THA,2018,16610.05,0.765,4.039237,77.1903
Thailand,THA,2019,16905.293,0.716,3.9411147,77.1967
Thailand,THA,2020,15815.915,1.099,3.7956123,77.3314
Thailand,THA,2021,16019.519,1.215,3.7244072,77.6065
Thailand,THA,2022,16421.072,0.94,3.7997093,75.2913
Togo,TGO,2018,1466.341,2.898,0.24626246,60.6006
Togo,TGO,2019,1501.8667,2.036,0.27929592,61.0554
Togo,TGO,2020,1482.7515,2.225,0.31734377,61.1225
Togo,TGO,2021,1534.8236,2.333,0.2951192,61.3285
Togo,TGO,2022,1586.5889,1.965,0.30129206,62.2898
Trinidad and Tobago,TTO,2018,27863.434,3.498,27.410236,72.6582
Trinidad and Tobago,TTO,2019,27582.568,3.523,27.446016,72.8357
Trinidad and Tobago,TTO,2020,25548.51,4.206,23.661348,72.645
Trinidad and Tobago,TTO,2021,25237.664,4.446,24.459532,71.1114
Trinidad and Tobago,TTO,2022,25773.006,4.383,25.063381,73.3308
Tunisia,TUN,2018,11376.29,15.459,2.6451635,75.37
Tunisia,TUN,2019,11451.897,17.153,2.5750186,75.5992
Tunisia,TUN,2020,10354.239,17.656,2.408942,75.0035
Tunisia,TUN,2021,10726.256,16.611,2.6166234,72.8928
Tunisia,TUN,2022,10913.846,15.3,2.5401497,76.0505
Turkey,TUR,2018,23650.49,10.956,5.020594,77.4535
Turkey,TUR,2019,23497.504,13.73,4.7631073,77.737
Turkey,TUR,2020,23721.88,13.148,4.8358684,76.5255
Turkey,TUR,2021,26175.93,11.969,5.2762375,75.7222
Turkey,TUR,2022,27361.988,10.465,5.095457,77.5913
Turkmenistan,TKM,2018,18064.107,4.044,9.210645,69.2718
Turkmenistan,TKM,2019,17264.172,4.043,9.149726,69.4046
Turkmenistan,TKM,2020,16580.84,4.501,9.051186,68.8457
Turkmenistan,TKM,2021,17169.06,4.459,12.929089,69.3525
Turkmenistan,TKM,2022,17234.555,4.109,14.11619,69.9133
Uganda,UGA,2018,2036.3313,3.25,0.1334906,65.7751
Uganda,UGA,2019,2128.9087,3.06,0.13398339,66.3537
Uganda,UGA,2020,2032.2618,3.831,0.12532032,66.4098
Uganda,UGA,2021,2083.8281,3.422,0.13574822,66.4497
Uganda,UGA,2022,2122.0278,2.886,0.12952651,67.6747
Ukraine,UKR,2018,9827.172,8.799,5.1295204,73.5691
Ukraine,UKR,2019,10139.761,8.194,4.942182,73.9199
Ukraine,UKR,2020,9769.828,9.475,4.635197,73.2833
Ukraine,UKR,2021,10133.885,9.834,4.7549105,71.6308
United Arab Emirates,ARE,2018,74206.484,2.236,21.8367,82.4493
United Arab Emirates,ARE,2019,74396.14,2.331,21.75957,82.5961
United Arab Emirates,ARE,2020,70188.27,4.294,22.783035,81.9363
United Arab Emirates,ARE,2021,72460.04,3.105,21.67451,79.0831
United Arab Emirates,ARE,2022,77203.67,2.872,20.220825,80.4868
United Kingdom,GBR,2018,38704.6,4.12,5.6886244,81.1229
United Kingdom,GBR,2019,39113.01,3.613,5.4350777,81.4426
United Kingdom,GBR,2020,34651.184,4.472,4.84416,80.3854
United Kingdom,GBR,2021,37134.33,4.826,5.059431,80.708
United Kingdom,GBR,2022,38406.53,3.73,4.563232,81.0744
United States,USA,2018,55454.668,3.896,16.000992,78.7997
United States,USA,2019,56469.26,3.669,15.500492,78.916
United States,USA,2020,54379.207,8.055,13.8168955,77.0115
United States,USA,2021,57522.703,5.349,14.758024,76.3836
United States,USA,2022,58487.465,3.65,14.802047,77.9789
Uruguay,URY,2018,19697.76,8.336,1.9355792,77.5273
Uruguay,URY,2019,19714.148,8.836,1.886396,77.5028
Uruguay,URY,2020,18460.04,10.413,1.9055269,78.3811
Uruguay,URY,2021,19222.295,9.328,2.3049502,75.4345
Uruguay,URY,2022,20181.94,7.877,2.212046,76.4682
Uzbekistan,UZB,2018,10682.418,5.389,3.160928,71.9988
Uzbekistan,UZB,2019,11219.243,4.932,3.2746303,72.0934
Uzbekistan,UZB,2020,11341.919,5.293,3.2197232,71.4613
Uzbekistan,UZB,2021,12076.092,5.364,3.5966222,71.6808
Uzbekistan,UZB,2022,12559.401,4.49,3.4089596,72.1465
Venezuela,VEN,2018,9446.1875,5.46,3.7319212,72.6415
Venezuela,VEN,2019,7061.7617,5.876,3.6433108,72.7664
Venezuela,VEN,2020,4952.53,7.53,2.8442175,72.3693
Venezuela,VEN,2021,4896.802,7.037,3.3608282,71.5364
Venezuela,VEN,2022,5267.1753,5.707,3.8430314,72.5656
Vietnam,VNM,2018,6842.1387,1.161,2.654567,74.1004
Vietnam,VNM,2019,7266.0483,1.681,3.4918098,74.2113
Vietnam,VNM,2020,7395.3613,2.103,3.697001,75.3832
Vietnam,VNM,2021,7507.759,2.385,3.175785,74.1448
Vietnam,VNM,2022,8050.359,1.523,3.2368684,74.5025
World,OWID_WRL,2018,15814.849,5.76846,4.752195,72.3885
World,OWID_WRL,2019,16091.449,5.5985622,4.7478137,72.6093
World,OWID_WRL,2020,15461.187,6.6092067,4.4577436,71.9166
World,OWID_WRL,2021,16282.981,6.0645556,4.634748,70.865
World,OWID_WRL,2022,16676.75,5.2606454,4.6784525,72.6398
Yemen,YEM,2018,2281.545,17.584,0.33750373,65.9154
Yemen,YEM,2019,2265.343,17.202,0.33572507,66.5673
Yemen,YEM,2020,2031.4436,17.953,0.2976907,66.4354
Yemen,YEM,2021,1972.2102,18.287,0.285619,66.0191
Yemen,YEM,2022,1959.3195,17.363,0.27218696,67.9517
Zambia,ZMB,2018,3521.5051,5.033,0.48169613,62.1381
Zambia,ZMB,2019,3466.2363,5.542,0.47782284,62.9145
Zambia,ZMB,2020,3270.599,6.033,0.52418166,63.3607
Zambia,ZMB,2021,3321.5945,5.199,0.47694507,62.3631
Zambia,ZMB,2022,3342.4214,5.995,0.5427949,65.2791
Zimbabwe,ZWE,2018,1900.1992,6.793,0.7455699,60.9055
Zimbabwe,ZWE,2019,1753.0244,7.373,0.6722901,61.0603
Zimbabwe,ZWE,2020,1585.9728,8.621,0.54684746,61.53
Zimbabwe,ZWE,2021,1687.2532,9.54,0.6471251,60.1347
Zimbabwe,ZWE,2022,1703.5294,10.087,0.7612047,62.3601
